BATHRM,HF_BATHRM,HEAT,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,EYB,STORIES,SALEDATE,PRICE,QUALIFIED,SALE_NUM,GBA,BLDG_NUM,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,SOURCE,CMPLX_NUM,LIVING_GBA,FULLADDRESS,CITY,STATE,ZIPCODE,NATIONALGRID,LATITUDE,LONGITUDE,ASSESSMENT_NBHD,ASSESSMENT_SUBNBHD,CENSUS_TRACT,CENSUS_BLOCK,WARD,SQUARE,X,Y,QUADRANT
1,1,Warm Cool,Y,,5,2,1961.0,,1961,,2017-06-01 00:00:00,510000.0,Q,2,,1,,,,,,,,,0,16,1976,2018-07-22 18:01:38,Condominium,2279.0,1344.0,,,,20024.0,,38.88082098,-77.01427073,Southwest Waterfront,,10500.0,,Ward 6,540.0,-77.0142730131491,38.8808284329871,SW
3,1,Forced Air,Y,1.0,7,3,1959.0,2007.0,1978,1.0,2012-03-21 00:00:00,,U,1,2038.0,1,1 Story,Single,Above Average,Average,Common Brick,Comp Shingle,Carpet,1.0,2,12,10625,2018-07-22 18:01:43,Residential,,,1610 TAMARACK STREET NW,WASHINGTON,DC,20012.0,18S UJ 23467 17803,38.99144304,-77.03833981,Colonial Village,,1600.0,001600 4004,Ward 4,2758.0,-77.0388682570968,38.99170339633474,NW
1,0,Hot Water Rad,Y,1.0,6,3,1925.0,,1954,2.0,1995-07-20 00:00:00,75000.0,U,1,973.0,1,2 Story,Single,Average,Average,Wood Siding,Shingle,Hardwood,1.0,1,12,6039,2018-07-22 18:01:43,Residential,,,5928 3RD STREET NW,WASHINGTON,DC,20011.0,18S UJ 25290 14514,38.96218332,-77.01646451,Brightwood,006 E Brightwood,1902.0,001902 1006,Ward 4,3290.0,-77.01721674080731,38.96195485539072,NW
2,0,Forced Air,Y,,4,2,2002.0,,2002,,2012-10-26 00:00:00,679000.0,U,1,,1,,,,,,,,,1,17,198,2018-07-22 18:01:38,Condominium,2538.0,1140.0,,,,20005.0,,38.908131005,-77.02989369,Old City 2,040 C Old City 2,5002.0,,Ward 2,243.0,-77.02989598533358,38.90813845924844,NW
1,0,Forced Air,Y,,3,1,1940.0,,1940,,2006-05-09 00:00:00,223900.0,Q,1,,1,,,,,,,,,0,16,514,2018-07-22 18:01:38,Condominium,1692.0,569.0,,,,20020.0,,38.87239958,-76.97021629,Hillcrest,028 A Hillcrest,7604.0,,Ward 7,5579.0,-76.97021855378176,38.872407028504895,SE
1,1,Warm Cool,Y,1.0,7,3,1975.0,,1977,2.0,2007-08-17 00:00:00,,U,1,1240.0,1,2 Story,Semi-Detached,Above Average,Average,Common Brick,Shake,Wood Floor,1.0,0,13,2577,2018-07-22 18:01:43,Residential,,,2229 RIDGE PLACE SE,WASHINGTON,DC,20020.0,18S UJ 28819 04062,38.86875013,-76.97315165,Randle Heights,043 A Randle Heights,7601.0,007601 2013,Ward 8,5624.0,-76.97349911139288,38.86875079602469,SE
1,0,Hot Water Rad,N,1.0,10,5,1925.0,,1954,2.0,,,U,1,1320.0,1,2 Story,Row Inside,Average,Average,Common Brick,Built Up,Hardwood,1.0,0,11,1700,2018-07-22 18:01:43,Residential,,,4805 ILLINOIS AVENUE NW,WASHINGTON,DC,20011.0,18S UJ 24744 13022,38.9486422,-77.02238238,Petworth,042 B Petworth,2201.0,002201 1008,Ward 4,3146.0,-77.02244642577821,38.94924143046449,NW
3,0,Warm Cool,Y,2.0,9,5,1932.0,2007.0,1992,3.0,1996-12-23 00:00:00,450000.0,Q,1,2244.0,1,3 Story,Row Inside,Superior,Very Good,Common Brick,Built Up,Hardwood,2.0,1,24,1336,2018-07-22 18:01:43,Residential,,,3042 CAMBRIDGE PLACE NW,WASHINGTON,DC,20007.0,18S UJ 21322 08935,38.911143599999996,-77.06078048,Georgetown,025 F Georgetown,100.0,000100 1011,Ward 2,1282.0,-77.0604618591437,38.91176883739783,NW
1,0,Electric Rad,N,,3,1,1942.0,2012.0,1942,,2016-05-09 00:00:00,324900.0,Q,3,,1,,,,,,,,,0,17,480,2018-07-22 18:01:38,Condominium,4065.0,690.0,,,,20007.0,,38.92145037,-77.07914821,Glover Park,,300.0,,Ward 3,1334.0,-77.07915051245098,38.92145782285048,NW
1,0,Gravity Furnac,Y,,4,2,1923.0,,1923,,2014-09-22 00:00:00,300000.0,Q,6,,1,,,,,,,,,0,16,537,2018-07-22 18:01:38,Condominium,1662.0,752.0,,,,20010.0,,38.937666905,-77.03356572000001,Columbia Heights,015 B Columbia Heights,2502.0,,Ward 4,2692.0,-77.03356802511937,38.93767436487322,NW
